2021-02-11-10:37|INFO  |test_member.py:40 |------------开始增加联系人--------
2021-02-11-10:37|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': 13072661165, 'name': 'tong1234', 'userid': None}, 'method': 'post', 'params': 'access_token=qo7PQbd8EYJ9ap1QgRQxlGvfP5QD25mGFfcRyAm4zedzvK5DJFGAPFQow42VlsGpjBwc_oVQrQd_p9vp6DAnXvLDKB5FexyH67dcjI9EOiOeXMi5mo7xtlb5ux8tqRpeoRw2P1L4pQvtU871DLgVEkQ2jrNv34NnVzwH7miq5ke-6bziUcgwhF3j2AmHXUYze7k9WLF0mbJflmIhYtrHuQ', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-11-10:37|INFO  |base_api.py:52 |响应的内容:{'errcode': 41009, 'errmsg': 'Warning: wrong json format. missing userid, hint: [1613011050_161_ecf42942dea5a77bcb04dba03346b4df], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=41009'}
2021-02-11-10:37|INFO  |test_member.py:40 |------------开始增加联系人--------
2021-02-11-10:37|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': None, 'name': 'tong12341', 'userid': 'tong12341'}, 'method': 'post', 'params': 'access_token=qo7PQbd8EYJ9ap1QgRQxlGvfP5QD25mGFfcRyAm4zedzvK5DJFGAPFQow42VlsGpjBwc_oVQrQd_p9vp6DAnXvLDKB5FexyH67dcjI9EOiOeXMi5mo7xtlb5ux8tqRpeoRw2P1L4pQvtU871DLgVEkQ2jrNv34NnVzwH7miq5ke-6bziUcgwhF3j2AmHXUYze7k9WLF0mbJflmIhYtrHuQ', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-11-10:37|INFO  |base_api.py:52 |响应的内容:{'errcode': 60129, 'errmsg': 'missing mobile or email, hint: [1613011051_161_47d9d8ab845336c2269f047bfd7e9bd6], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=60129'}
2021-02-11-10:37|INFO  |test_member.py:48 |------------开始删除联系人--------
2021-02-11-10:37|INFO  |base_api.py:115|请求格式为：{'method': 'get', 'params': 'access_token=qo7PQbd8EYJ9ap1QgRQxlGvfP5QD25mGFfcRyAm4zedzvK5DJFGAPFQow42VlsGpjBwc_oVQrQd_p9vp6DAnXvLDKB5FexyH67dcjI9EOiOeXMi5mo7xtlb5ux8tqRpeoRw2P1L4pQvtU871DLgVEkQ2jrNv34NnVzwH7miq5ke-6bziUcgwhF3j2AmHXUYze7k9WLF0mbJflmIhYtrHuQ&userid=12234', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/delete'}
2021-02-11-10:37|INFO  |base_api.py:52 |响应的内容:{'errcode': 60111, 'errmsg': 'userid not found, hint: [1613011051_161_2f2cbea1c8730d2eea893790af4e8a5c], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=60111'}
2021-02-11-10:37|INFO  |test_member.py:56 |------------开始获取联系人--------
2021-02-11-10:37|INFO  |base_api.py:115|请求格式为：{'method': 'get', 'params': 'access_token=qo7PQbd8EYJ9ap1QgRQxlGvfP5QD25mGFfcRyAm4zedzvK5DJFGAPFQow42VlsGpjBwc_oVQrQd_p9vp6DAnXvLDKB5FexyH67dcjI9EOiOeXMi5mo7xtlb5ux8tqRpeoRw2P1L4pQvtU871DLgVEkQ2jrNv34NnVzwH7miq5ke-6bziUcgwhF3j2AmHXUYze7k9WLF0mbJflmIhYtrHuQ&userid=12234', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/get'}
2021-02-11-10:37|INFO  |base_api.py:52 |响应的内容:{'errcode': 60111, 'errmsg': 'userid not found, hint: [1613011051_161_45ea37a8ca3b8c6babde078d56a23c09], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=60111', 'department': [], 'order': [], 'is_leader_in_dept': []}
